Wer trägt die Verantwortung für die Schülerinnen und Schüler im Unterricht laut §59 Abs. 8 SchulG?;2
Wer ist für den äußeren bzw. inneren Schulbereich zuständig?;2
Worin unterscheiden sich die Aufgabenbereiche im äußeren und inneren Schulbereich?;2
Was bedeutet die Wesentlichkeitslehre im Schulrecht?;2
Wer besitzt die Gesetzgebungskompetenz im Schulwesen in Deutschland?;2
Warum stellt die Schulpflicht einen Eingriff in das Grundrecht der Eltern dar?;2
Wer ist Schulträger einer Schule?;1
Welche Aufgaben hat der Schulträger?;2
Welche Aufgaben hat die Schulaufsicht?;2
Wie sind die Verantwortlichkeiten für Arbeitssicherheit und Gesundheitsschutz in Schulen organisiert?;2
Welche Personen sind zur Aufsichtsführung verpflichtet?;2
Was versteht man unter Föderalismus im Zusammenhang mit Schule?;2
Kann die Aufsichtspflicht auf andere Personen übertragen werden?;2
Welche rechtlichen Folgen kann eine Verletzung der Aufsichtspflicht haben?;2
Wer kommt für die Folgen eines Unfalls im Schulbereich auf?;2
Sind Schülerinnen und Schüler in der Schule gesetzlich unfallversichert?;1
Haben Unfallverhütungsvorschriften rechtliche Verbindlichkeit?;2
Oftmals entstehen Unfälle durch Überbeanspruchung von Schüler:innen. Erläutern Sie den Unterschied zwischen Belastung und Beanspruchung.;2
Was ist der Unterschied zwischen Gefahr und Gefährdung?;2
Warum ist beschwerdefreies Sitzen im Unterricht wichtig?;1
Welche Maßnahmen sind bei manueller Handhabung von Lasten sinnvoll?;2
Welche Umgebungsbedingungen können Belastungen im Unterricht darstellen?;2
Was versteht man unter Schalldruckpegel und wie wird er gemessen?;2
Wie hoch darf der Schalldruckpegel maximal sein, um Gehörschäden zu vermeiden?;2
Welche extra-auralen Wirkungen kann Lärm haben?;2
Nennen Sie fünf Wirkungen von Lärm auf den Menschen.;2
Nennen Sie zwei Langzeitfolgen von Lärmbelastung.;2
Ab welchem Schalldruckpegel muss Gehörschutz getragen werden?;2
Was versteht man unter dem Begriff Lichtstrom?;2
Wie wird Lichtstrom gemessen und in welcher Einheit?;2
Wie kann die Beleuchtungsstärke in einem Raum erhöht werden?;2
Was versteht man unter dem Blendungsmaß bei Beleuchtung?;2
Was ist der stroboskopische Effekt bei Leuchtstofflampen?;2
Welche Faktoren bestimmen das Raumklima?;2
Welche vier Arten des Wärmeaustausches gibt es im menschlichen Körper?;2
Welche Maßnahmen sind beim Umgang mit Handwerkzeugen wichtig?;2
Welche Kriterien sind bei der Auswahl eines Hammers entscheidend?;2
Warum müssen Meißel regelmäßig nachgehärtet werden?;2
Warum dürfen beschädigte Meißel nicht verwendet werden?;2
Welche Gefahren bestehen beim Weichlöten?;2
Warum darf beim Löten nicht gegessen oder getrunken werden?;2
Welche Bedeutung hat der Schneidspalt beim Blechschneiden?;2
Welche Unterschiede bestehen zwischen verschiedenen Spiralbohrern?;2
Welche Kleidung ist beim Arbeiten an einer Standbohrmaschine verboten?;2
Warum ist es wichtig, Werkzeuge regelmäßig zu warten?;2
Auf welchen Wegen können Gefahrstoffe in den Körper gelangen?;2
Was ist der Unterschied zwischen lokalen und systemischen Wirkungen von Gefahrstoffen?;2
Was bedeutet der LD50-Wert?;2
Welche Arten toxischer Wirkungen gibt es bei Gefahrstoffen?;2
Warum ist es wichtig, Sicherheitsdatenblätter von Gefahrstoffen zu beachten?;2
